TRADING_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
500,120,0.5,3.5,10000,57.156464943627284
500,120,0.5,4.0,10000,57.156464943627284
400,150,1.5,4.0,10000,56.46634368902256
500,120,0.5,3.0,10000,56.27248437292343
400,150,1.5,3.5,10000,56.049027645037015
500,120,1.0,4.0,10000,55.40302424217058
500,120,1.0,3.5,10000,55.40302424217058
400,150,1.5,3.0,10000,55.243084268473545
400,120,1.5,3.5,10000,55.052975254189924
400,120,1.5,4.0,10000,55.052975254189924
500,120,1.0,3.0,10000,54.55627576674391
500,120,1.5,4.0,10000,54.5335705871692
500,120,1.5,3.5,10000,54.5335705871692
400,120,2.0,4.0,10000,54.2656606808818
400,120,2.0,3.5,10000,54.2656606808818
400,120,1.5,3.0,10000,54.23931893762279
400,120,0.5,4.0,10000,53.60023351764387
400,120,0.5,3.5,10000,53.60023351764387
500,120,1.5,3.0,10000,53.54397573082791
500,150,0.5,4.0,10000,53.16479263104441
500,150,0.5,3.5,10000,53.16479263104441
400,120,2.0,3.0,10000,53.02026412141004
400,120,0.5,3.0,10000,52.87605428100428
400,120,1.0,3.5,10000,52.743786767938886
400,120,1.0,4.0,10000,52.743786767938886
500,150,0.5,3.0,10000,52.706681084149274
400,150,0.5,4.0,10000,52.70418944720824
400,150,0.5,3.5,10000,52.27061638344766
500,150,1.0,3.5,10000,52.06600917796396
500,150,1.0,4.0,10000,52.06600917796396
400,120,1.0,3.0,10000,52.03440575116446
500,120,0.5,2.5,10000,51.72929097068883
500,150,1.0,3.0,10000,51.63028147298167
400,150,0.5,3.0,10000,51.458103873509245
400,150,2.0,4.0,10000,51.0662819205737
400,150,2.0,3.5,10000,50.65630502381747
500,150,1.5,4.0,10000,50.43849252491484
500,150,1.5,3.5,10000,50.43849252491484
500,150,1.5,3.0,10000,49.911508030708795
400,150,1.0,4.0,10000,49.744616932392816
500,120,1.0,2.5,10000,49.67957850588717
400,150,2.0,3.0,10000,49.48708384530043
400,150,1.0,3.5,10000,49.32191713509015
400,150,1.0,3.0,10000,48.552407566268414
500,120,1.5,2.5,10000,48.412782446039046
450,120,1.5,3.5,10000,48.28349618623659
450,120,1.5,4.0,10000,48.28349618623659
450,150,1.5,4.0,10000,48.179462745128795
450,150,1.5,3.5,10000,47.69272739928068
450,150,1.5,3.0,10000,47.57425408304801
450,120,1.5,3.0,10000,47.4501342955423
500,90,2.0,4.0,10000,47.40307958375418
500,90,2.0,3.5,10000,47.40307958375418
400,120,1.5,2.5,10000,47.39544837497979
400,90,2.0,4.0,10000,47.369529330945895
400,90,2.0,3.5,10000,47.369529330945895
400,120,0.5,2.5,10000,46.49238873961626
400,150,1.5,2.5,10000,46.38740482448203
500,120,2.0,3.5,10000,46.344389487427904
500,120,2.0,4.0,10000,46.344389487427904
500,90,2.0,3.0,10000,45.63360598604129
400,120,2.0,2.5,10000,45.615793942582926
400,120,1.0,2.5,10000,45.42605270610373
500,90,2.0,2.5,10000,45.065080195049816
500,120,2.0,3.0,10000,45.0460009017347
450,120,0.5,3.5,10000,44.93837698749396
450,120,0.5,4.0,10000,44.93837698749396
450,120,2.0,3.5,10000,44.89773562643278
450,120,2.0,4.0,10000,44.89773562643278
400,90,2.0,3.0,10000,44.86700602486813
450,120,0.5,3.0,10000,44.20213184780355
450,120,2.0,3.0,10000,43.77613967622385
450,90,2.0,3.5,10000,43.56862647704724
450,90,2.0,4.0,10000,43.56862647704724
500,150,0.5,2.5,10000,43.434056678809014
400,150,0.5,2.5,10000,43.217508172059176
450,150,1.0,4.0,10000,43.1534596902741
350,120,0.5,4.0,10000,42.9685345752118
350,120,0.5,3.5,10000,42.9685345752118
400,90,2.0,2.5,10000,42.93653779361206
500,150,1.0,2.5,10000,42.82086027137314
500,90,1.0,4.0,10000,42.80181326375331
500,90,1.0,3.5,10000,42.80181326375331
450,150,1.0,3.5,10000,42.66134307317592
300,120,0.5,4.0,10000,42.651812731297966
300,120,0.5,3.5,10000,42.651812731297966
450,150,1.0,3.0,10000,42.61438318319572
450,120,1.0,4.0,10000,42.560436418203366
450,120,1.0,3.5,10000,42.560436418203366
450,150,2.0,4.0,10000,42.41900872538308
350,150,1.5,4.0,10000,42.186561106414814
400,90,1.0,3.5,10000,41.94956848144006
400,90,1.0,4.0,10000,41.94956848144006
450,150,2.0,3.5,10000,41.933072569152756
250,120,1.5,4.0,10000,41.93258918898797
250,120,1.5,3.5,10000,41.93258918898797
450,120,1.0,3.0,10000,41.86014085367116
350,150,1.5,3.5,10000,41.822818090764905
450,90,2.0,3.0,10000,41.64270856346526
250,120,0.5,4.0,10000,41.64090761957378
250,120,0.5,3.5,10000,41.64090761957378
350,120,1.5,3.5,10000,41.62239308433446
350,120,1.5,4.0,10000,41.62239308433446
450,150,2.0,3.0,10000,41.61297289282045
350,120,0.5,3.0,10000,41.19850411863289
500,150,2.0,3.5,10000,41.11563357806586
500,150,2.0,4.0,10000,41.11563357806586
300,120,0.5,3.0,10000,41.08599445722883
450,120,1.5,2.5,10000,40.82999484948009
350,150,1.5,3.0,10000,40.79692730370831
350,150,2.0,4.0,10000,40.78018943865005
450,150,0.5,4.0,10000,40.76076793554393
350,90,2.0,3.5,10000,40.692703540732666
350,90,2.0,4.0,10000,40.692703540732666
400,150,1.0,2.5,10000,40.61017996779452
500,90,1.0,3.0,10000,40.596807979922346
350,120,2.0,4.0,10000,40.577775978571836
350,120,2.0,3.5,10000,40.577775978571836
350,150,2.0,3.5,10000,40.422657314097755
400,150,2.0,2.5,10000,40.42040267297905
250,120,1.5,3.0,10000,40.39029835220671
500,150,2.0,3.0,10000,40.28082702117193
450,150,0.5,3.5,10000,40.25657563285684
450,150,0.5,3.0,10000,40.18064094925556
350,120,1.0,3.5,10000,40.08991746141723
350,120,1.0,4.0,10000,40.08991746141723
250,120,0.5,3.0,10000,40.0513359032074
350,120,1.5,3.0,10000,39.90187277385466
500,150,1.5,2.5,10000,39.84435845159436
350,150,2.0,3.0,10000,39.213932609908674
500,120,2.0,2.5,10000,39.19444019778854
250,150,1.5,4.0,10000,39.12628701395189
450,90,2.0,2.5,10000,38.9782067029442
250,150,1.5,3.5,10000,38.83545338972707
300,120,1.5,3.5,10000,38.77266585386842
300,120,1.5,4.0,10000,38.77266585386842
500,90,1.5,4.0,10000,38.58303584592114
500,90,1.5,3.5,10000,38.58303584592114
400,90,1.0,3.0,10000,38.57947864623105
350,120,0.5,2.5,10000,38.535612816260695
350,120,2.0,3.0,10000,38.472132714902685
350,120,1.0,3.0,10000,38.419821563705526
500,90,0.5,4.0,10000,38.32310541438725
500,90,0.5,3.5,10000,38.32310541438725
350,90,2.0,3.0,10000,38.06103648273064
450,120,0.5,2.5,10000,38.046470472338655
250,150,1.5,3.0,10000,38.02790414305852
450,150,1.5,2.5,10000,37.99934833754
250,120,2.0,3.5,10000,37.68204640447746
250,120,2.0,4.0,10000,37.68204640447746
500,90,1.0,2.5,10000,37.6748466079964
300,120,0.5,2.5,10000,37.666318907594864
250,150,2.0,4.0,10000,37.60154609820377
250,150,2.0,3.5,10000,37.315650394186065
300,120,1.5,3.0,10000,37.27880465912733
250,150,0.5,4.0,10000,36.817530816669745
350,120,1.5,2.5,10000,36.806907950528895
400,90,1.5,3.5,10000,36.73455940165408
400,90,1.5,4.0,10000,36.73455940165408
450,120,2.0,2.5,10000,36.67934372111532
250,150,0.5,3.5,10000,36.514800573741674
250,150,1.0,4.0,10000,36.4857480120623
500,90,1.5,3.0,10000,36.39443127045781
250,150,2.0,3.0,10000,36.35935301958871
400,90,1.0,2.5,10000,36.269736320147906
300,120,1.0,3.5,10000,36.23064819871917
300,120,1.0,4.0,10000,36.23064819871917
250,150,1.0,3.5,10000,36.19077456734795
500,90,0.5,3.0,10000,36.09185910741797
350,150,1.0,4.0,10000,36.08236130236917
400,90,0.5,3.5,10000,36.01094273112954
400,90,0.5,4.0,10000,36.01094273112954
250,120,1.0,4.0,10000,35.83239848817103
250,120,1.0,3.5,10000,35.83239848817103
250,120,2.0,3.0,10000,35.81325046362902
350,150,1.0,3.5,10000,35.71377552589452
250,120,1.5,2.5,10000,35.65091698924784
250,150,0.5,3.0,10000,35.60464812924459
350,90,1.0,3.5,10000,35.597940359326635
350,90,1.0,4.0,10000,35.597940359326635
250,120,0.5,2.5,10000,35.58430861793948
350,120,1.0,2.5,10000,35.50353838002855
450,120,1.0,2.5,10000,35.49527152552367
250,150,1.0,3.0,10000,35.392059213135134
250,90,2.0,4.0,10000,34.97255784777654
250,90,2.0,3.5,10000,34.97255784777654
300,120,1.0,3.0,10000,34.76784917684403
300,150,0.5,4.0,10000,34.73934170299497
350,150,1.0,3.0,10000,34.72141631657505
350,90,2.0,2.5,10000,34.62231636423178
350,150,0.5,4.0,10000,34.43285286613494
300,150,0.5,3.5,10000,34.403246527399894
350,120,2.0,2.5,10000,34.37431473837981
250,120,1.0,3.0,10000,34.336424842020534
450,150,1.0,2.5,10000,34.07913163257654
350,150,0.5,3.5,10000,34.05491418561629
300,150,1.5,4.0,10000,34.02766703921132
300,150,1.5,3.5,10000,33.7050115266977
300,120,1.5,2.5,10000,33.59349874756077
400,90,1.5,3.0,10000,33.491183354328015
300,150,0.5,3.0,10000,33.39270758132213
400,150,2.5,4.0,10000,33.20728733695519
300,90,2.0,3.5,10000,33.18856253272851
300,90,2.0,4.0,10000,33.18856253272851
300,120,2.0,4.0,10000,33.08779906482438
300,120,2.0,3.5,10000,33.08779906482438
500,90,0.5,2.5,10000,32.94306407742641
350,150,0.5,3.0,10000,32.9183953676345
300,150,1.5,3.0,10000,32.81201356148641
400,150,2.5,3.5,10000,32.80375849612986
500,90,1.5,2.5,10000,32.69993739831438
400,90,0.5,3.0,10000,32.66743046136025
350,90,0.5,3.5,10000,32.50948461454722
350,90,0.5,4.0,10000,32.50948461454722
350,150,1.5,2.5,10000,32.17408728132116
450,150,2.0,2.5,10000,32.108205540257515
300,150,1.0,4.0,10000,32.06042532099648
100,120,1.5,3.5,10000,32.0515486666711
100,120,1.5,4.0,10000,32.0515486666711
350,90,1.0,3.0,10000,32.02868724623819
250,90,2.0,3.0,10000,31.94879072680339
450,90,1.0,3.5,10000,31.830851042853773
450,90,1.0,4.0,10000,31.830851042853773
150,120,1.5,3.5,10000,31.761743090898207
150,120,1.5,4.0,10000,31.761743090898207
300,150,1.0,3.5,10000,31.73319295024009
350,150,2.0,2.5,10000,31.594349002051644
250,120,2.0,2.5,10000,31.41655933177525
300,120,1.0,2.5,10000,31.275092013974977
450,150,0.5,2.5,10000,31.253422848740918
300,120,2.0,3.0,10000,31.24268289334995
300,150,1.0,3.0,10000,30.84652564556928
300,90,0.5,4.0,10000,30.825863856575836
300,90,0.5,3.5,10000,30.825863856575836
200,150,2.0,4.0,10000,30.55371150788082
400,90,1.5,2.5,10000,30.52798882892227
200,120,1.5,3.5,10000,30.45962567541168
200,120,1.5,4.0,10000,30.45962567541168
300,90,1.0,4.0,10000,30.446680238487865
300,90,1.0,3.5,10000,30.446680238487865
400,120,2.5,4.0,10000,30.353095040516163
400,120,2.5,3.5,10000,30.353095040516163
200,150,2.0,3.5,10000,30.294391031354063
250,90,1.0,4.0,10000,30.06052428293591
250,90,1.0,3.5,10000,30.06052428293591
150,120,1.5,3.0,10000,30.039397835085715
450,90,1.5,3.5,10000,29.997352979060913
450,90,1.5,4.0,10000,29.997352979060913
400,90,0.5,2.5,10000,29.97747923458335
100,120,1.5,3.0,10000,29.95927296025539
500,150,2.0,2.5,10000,29.880954496941875
300,90,2.0,3.0,10000,29.81926734417526
500,60,1.0,4.0,10000,29.79426023625159
500,60,1.0,3.5,10000,29.79426023625159
250,120,1.0,2.5,10000,29.784959175425243
350,90,1.0,2.5,10000,29.597489314291863
450,90,1.0,3.0,10000,29.56074001114802
400,120,2.5,3.0,10000,29.45930249512167
200,120,0.5,3.5,10000,29.29643232937599
200,120,0.5,4.0,10000,29.29643232937599
250,150,1.5,2.5,10000,29.244473345764717
200,150,2.0,3.0,10000,29.19432790393351
500,60,1.0,3.0,10000,29.078260934540985
350,90,0.5,3.0,10000,28.963570319065596
200,120,1.5,3.0,10000,28.96329683281165
400,150,2.5,3.0,10000,28.889622501245366
250,90,0.5,4.0,10000,28.815765331390978
250,90,0.5,3.5,10000,28.815765331390978
200,150,1.5,4.0,10000,28.81209594168029
100,120,2.0,3.5,10000,28.73187107366204
100,120,2.0,4.0,10000,28.73187107366204
250,90,2.0,2.5,10000,28.712242425965385
50,120,1.5,3.5,10000,28.583685979980263
50,120,1.5,4.0,10000,28.583685979980263
200,150,1.5,3.5,10000,28.548458243439434
200,120,2.0,3.5,10000,28.353165449368056
200,120,2.0,4.0,10000,28.353165449368056
150,120,0.5,3.5,10000,28.329182487254627
150,120,0.5,4.0,10000,28.329182487254627
150,150,1.5,4.0,10000,28.20321745642493
300,150,2.0,4.0,10000,28.17072423239653
250,150,2.0,2.5,10000,28.14374570663722
150,150,1.5,3.5,10000,27.961538403118993
300,150,2.0,3.5,10000,27.85428026511765
200,120,0.5,3.0,10000,27.758512990581373
450,90,1.5,3.0,10000,27.72537878238873
150,150,2.0,4.0,10000,27.69692513214299
150,120,2.0,3.5,10000,27.684685330968996
150,120,2.0,4.0,10000,27.684685330968996
200,150,1.5,3.0,10000,27.62543657945804
150,150,2.0,3.5,10000,27.459418642949757
250,150,0.5,2.5,10000,27.405226908511473
100,90,2.0,4.0,10000,27.397378958820862
300,120,2.0,2.5,10000,27.389688736841098
350,90,1.5,3.5,10000,27.354753055058872
350,90,1.5,4.0,10000,27.354753055058872
250,150,1.0,2.5,10000,27.326926420212473
100,90,2.0,3.5,10000,27.12375303516938
350,150,1.0,2.5,10000,27.083187984761246
300,90,0.5,3.0,10000,26.869649400940972
300,90,2.0,2.5,10000,26.848360895483964
250,90,1.5,4.0,10000,26.841356675905203
250,90,1.5,3.5,10000,26.841356675905203
300,150,2.0,3.0,10000,26.805049728801983
150,150,1.5,3.0,10000,26.70198572448693
50,120,1.5,3.0,10000,26.648605093886683
300,90,1.0,3.0,10000,26.59898228245671
150,120,0.5,3.0,10000,26.574662753854774
200,90,2.0,4.0,10000,26.564035813644463
200,120,2.0,3.0,10000,26.557028772752247
250,90,1.0,3.0,10000,26.50382889871573
100,120,2.0,3.0,10000,26.425885358494295
200,90,2.0,3.5,10000,26.28118184723892
350,90,0.5,2.5,10000,26.26109773963293
400,90,2.5,4.0,10000,26.190305201159745
400,90,2.5,3.5,10000,26.190305201159745
450,90,0.5,3.5,10000,26.160323290706266
450,90,0.5,4.0,10000,26.160323290706266
300,150,0.5,2.5,10000,26.09307622797482
150,150,2.0,3.0,10000,26.090952782975492
150,120,2.0,3.0,10000,25.724945152450445
50,120,2.0,3.5,10000,25.603580163787917
50,120,2.0,4.0,10000,25.603580163787917
150,90,2.0,4.0,10000,25.45518835295237
450,90,1.0,2.5,10000,25.260735674925044
250,90,0.5,3.0,10000,25.16331133519678
150,90,2.0,3.5,10000,25.15896310404145
350,150,0.5,2.5,10000,25.05588642329004
500,60,0.5,3.5,10000,25.03605917438761
500,60,0.5,4.0,10000,25.03605917438761
300,150,1.5,2.5,10000,24.86069239138069
300,90,0.5,2.5,10000,24.812378544436967
100,150,1.5,4.0,10000,24.755682546282415
300,90,1.0,2.5,10000,24.743973806304034
500,60,0.5,3.0,10000,24.691633423553725
100,150,1.5,3.5,10000,24.532720353811648
200,150,0.5,4.0,10000,24.49874086300126
100,150,2.0,4.0,10000,24.452190998132806
450,120,2.5,3.5,10000,24.38281643720721
450,120,2.5,4.0,10000,24.38281643720721
50,90,2.0,4.0,10000,24.36556845638794
100,150,2.0,3.5,10000,24.23325214735177
200,150,0.5,3.5,10000,24.224367179160538
50,90,2.0,3.5,10000,24.111896360930224
350,90,1.5,3.0,10000,23.9099205495139
450,90,0.5,3.0,10000,23.87800357288379
250,90,1.0,2.5,10000,23.829824166705087
100,90,2.0,3.0,10000,23.789670061014334
150,120,1.5,2.5,10000,23.74258421787009
500,60,1.0,2.5,10000,23.68243282707882
450,120,2.5,3.0,10000,23.678090989601312
300,150,1.0,2.5,10000,23.653124366258993
150,150,0.5,4.0,10000,23.64287262194742
200,90,2.0,3.0,10000,23.542856650538276
200,120,1.0,3.5,10000,23.491839056029036
200,120,1.0,4.0,10000,23.491839056029036
50,120,2.0,3.0,10000,23.46975035988489
100,120,0.5,4.0,10000,23.4662151724444
100,120,0.5,3.5,10000,23.4662151724444
450,150,2.5,4.0,10000,23.43794892680568
150,150,0.5,3.5,10000,23.391404257565355
100,150,1.5,3.0,10000,23.37654422963185
400,60,1.0,3.5,10000,23.36423354817694
400,60,1.0,4.0,10000,23.36423354817694
250,90,1.5,3.0,10000,23.30806700495136
200,150,0.5,3.0,10000,23.20580960186382
450,90,2.5,4.0,10000,23.027289015491352
450,90,2.5,3.5,10000,23.027289015491352
350,150,2.5,4.0,10000,22.98905023273172
100,150,2.0,3.0,10000,22.97842684302681
450,150,2.5,3.5,10000,22.957933711680596
100,120,1.5,2.5,10000,22.943168780891853
200,150,1.0,4.0,10000,22.928391760894144
400,60,0.5,3.5,10000,22.899638624769842
400,60,0.5,4.0,10000,22.899638624769842
450,90,1.5,2.5,10000,22.77822536867427
200,150,1.0,3.5,10000,22.661197053597398
350,150,2.5,3.5,10000,22.6373422986928
150,90,2.0,3.0,10000,22.413848552559834
250,90,0.5,2.5,10000,22.286325647856323
500,150,2.5,3.5,10000,22.182939078533263
500,150,2.5,4.0,10000,22.182939078533263
400,90,2.5,3.0,10000,22.169603295069518
200,120,1.5,2.5,10000,22.07857017946526
150,150,0.5,3.0,10000,22.05906739433378
200,120,1.0,3.0,10000,22.037555008748036
150,150,1.0,4.0,10000,21.974525572504632
400,60,1.0,3.0,10000,21.88713722080233
50,150,1.5,4.0,10000,21.846236249150735
400,150,2.5,2.5,10000,21.787084756058704
100,120,2.0,2.5,10000,21.76651011175933
200,150,1.0,3.0,10000,21.74340624456714
150,150,1.0,3.5,10000,21.729629716521238
50,150,2.0,4.0,10000,21.710845398527198
400,60,0.5,3.0,10000,21.69145059804263
50,150,1.5,3.5,10000,21.639304117834314
500,60,1.5,3.5,10000,21.61278544515735
500,60,1.5,4.0,10000,21.61278544515735
